app,review,score,date
Gojek,"barang gw ketinggalan barang jirrr , gw konfirmasi dari jam satu malam ,Ampe sekarang jam 6 sore iyahnya doang.., dan gw dikasih nomor kontak yang gak berlaku , sekelas GOJEK lohh ini. luar biasa👏👏 Konoha konahaaaa...",1,2026-05-07 17:40:05
Gojek,makin mantap,5,2026-05-07 17:40:05
Gojek,"drivernya baik , krn macet lewat gang eh tau2 smp tujuan",5,2026-05-07 17:18:22
Gojek,okeh,5,2026-05-07 17:09:44
Gojek,👍,5,2026-05-07 17:09:27
Gojek,ok banget,5,2026-05-07 16:51:31
Gojek,sopirnya ramah...,5,2026-05-07 16:40:47
Gojek,Bagus sangat membantu,5,2026-05-07 16:31:39
Gojek,cukup bagus,5,2026-05-07 16:10:44
Gojek,bagus banget nih aplikasi jadi kebantu banget,5,2026-05-07 15:38:39
Gojek,Aplikasi yg mempermudah kemanapun saat gak bisa bawa kendaraan sendiri 👍,5,2026-05-07 15:16:39
Gojek,Simple untuk penggunaanya,5,2026-05-07 15:15:02
Gojek,okee,5,2026-05-07 14:59:14
Gojek,wadadidaauuu gojek memang mantul,5,2026-05-07 14:32:04
Gojek,"server hari penuh, sampai saya tidak bisa masuk diaplikasi",2,2026-05-07 14:02:16
Gojek,"pesen goojek lama bngt kg dapet"" dari jm 11 smpe jm 2 belum dpt juga 😒",3,2026-05-07 13:58:55
Gojek,mantaap,5,2026-05-07 13:54:36
Gojek,"sumpah gojek ini ga berbenah sama sekali, kalau telat dapat driver 1-2× oke lah.. ini berkali-kali bahkan sampai hampir 1 jam.. mana di suruh nunggu setengah jam lebih baru bisa dibatalkan, bayangin kalau orang kelaparan",1,2026-05-07 13:42:58
Gojek,drivernya di evaluasi,1,2026-05-07 13:42:01
Gojek,diskon makanan makin dikit harga makanan makin mahal.,3,2026-05-07 13:40:41
Gojek,sya ga mau naik gojek lagi pengajuan pinjaman gagal terus pdh udh lunas ga pernah telat bayar.,1,2026-05-07 13:40:23
Gojek,"Gojek?,huh pesan Transportasi terlalu lama & sering dicancel oleh driver tanpa alasan.",1,2026-05-07 13:39:25
Gojek,"Tolong diperbaiki untuk PETA nya, karena driver selalu salah jalan saat melakukan penjemputan, selalu diarahkan ke jalan yang lebih jauh dan susah lewat. sehingga memakan waktu lebih lama saat jemput.",2,2026-05-07 13:34:20
Gojek,"diinfokan diemail,data pribadi saya sudah diproses harus tunggu undangan goride (2 w) melalui Wa",5,2026-05-07 13:23:06
Gojek,sangat bagus,5,2026-05-07 13:18:13
Gojek,sangat membantu makasih,5,2026-05-07 13:15:29
Gojek,enggk nunggu lama,5,2026-05-07 13:14:16
Gojek,oke,5,2026-05-07 12:55:45
Gojek,"plis banget benerin sistemnya, masa ngebatalin driver buat nyari driver lain malah jadi kepesen 2 driver?!?! 2x loh saya mengalami hal kaya gini, mohon untuk kedepannya jangan sampai bisa kejadian seperti ini karna saya kasian sama drivernya",2,2026-05-07 12:44:34
Gojek,very good,5,2026-05-07 12:39:39
Gojek,masa buka Go transit loading lama minta ampun jaringan bagus kouta banyak perbaikan dong,3,2026-05-07 12:38:58
Gojek,sangat membantu,5,2026-05-07 12:18:04
Gojek,"kenapa sekarang sering muter2, pdhal koneksi internet lancar2 aja di aplikasi lain",1,2026-05-07 12:10:33
Gojek,aplikasi tolol uang saya hilang bertahun2 terulang terus menerus,1,2026-05-07 12:00:00
Gojek,cepat,5,2026-05-07 11:58:13
Gojek,mantaps,5,2026-05-07 11:33:32
Gojek,vc 1rp ternyata tidak sesuai,1,2026-05-07 11:20:43
Gojek,ok bgt,5,2026-05-07 11:09:40
Gojek,"GOJEK mau BANGKRUT ya? sepi banget orderan nya,mudah2an GOJEK BANGKRUT beneran,AMIN",1,2026-05-07 11:02:15
Gojek,Sangat menyenangkan,5,2026-05-07 10:41:18
Gojek,best,5,2026-05-07 10:29:25
Gojek,sangat membantu praktis,4,2026-05-07 10:24:17
Gojek,nyqman dan aman,5,2026-05-07 10:18:04
Gojek,semua baik,5,2026-05-07 10:16:00
Gojek,good service,5,2026-05-07 10:09:50
Gojek,pelayanan nya cepat,5,2026-05-07 10:08:48
Gojek,"cara berhenti langganan gojek plus gimana ya, mohon informasi nya. terimakasih",1,2026-05-07 09:25:44
Gojek,"Nunggunya tak pake lama guys, keren pokoknya 👍❤",5,2026-05-07 08:55:28
Gojek,Alhamdulillah lancar,5,2026-05-07 08:53:33
Gojek,Fast respon n ontime,5,2026-05-07 08:49:09
Gojek,luar biasa,5,2026-05-07 08:37:05
Gojek,good job,5,2026-05-07 08:29:35
Gojek,"halo admin gojek,saya pengguna blm ada 1 tahun,,kenapa akhir2 ini harga pulang lebih mahal 2x lipat dr harga pergi?..biasa nya harga PP sama tp akhir2 ini hanya harga pulang nya saja 2x nya padahal jarak nya sama seperti saat pergi.mohon di tinjau lg kendala nya dimana.terima kasih",3,2026-05-07 08:12:24
Gojek,"susah sangat buat laporan bantuan, dijawabnya ai mulu. cs kalian pada kemana sih",1,2026-05-07 08:10:04
Gojek,ok lah,5,2026-05-07 08:08:27
Gojek,"paylater gak bisa, driver pun irit.",1,2026-05-07 08:05:41
Gojek,mayan,5,2026-05-07 07:49:54
Gojek,streaming map lo nge bug tuh,1,2026-05-07 07:46:52
Gojek,tolaong gopay pinjam lihat orang yang rajin bayar tapi di tolak uda tidak jelas lagi semau nya uda jagan dowlod lagi kita di sini tingalkan gojek dari sekarang,2,2026-05-07 07:43:30
Gojek,"If you in indonesia dont use car service from gojek, many driver accept your order and asking you to cancel if they didnt want 🤣",1,2026-05-07 07:22:41
Gojek,driver nya lambat,1,2026-05-07 07:02:52
Gojek,Teman perjalanan sehari-hari anak ku👍,5,2026-05-07 06:44:50
Gojek,Aplikasiiinya sering eror malesin banget. JELEK APLIKASI MEDIT PUNYA DRIVER GA ADA YANG MAU AMBIL,1,2026-05-07 06:02:13
Gojek,bagus cepat,5,2026-05-07 05:24:02
Gojek,aplikasi sangat buruk sekali,1,2026-05-07 00:37:07
Gojek,bagus baik,5,2026-05-07 00:01:43
Gojek,"driver gocar harus disiplin,daerah jakarta saya pesan berkali-kali dan di cancel berkali-kali,di chat pada gak dibales,harus di tindak tegas perihal disiplin",1,2026-05-06 23:17:35
Gojek,kecewa ngorder hemat dapat jauh jauh ngorder biasa terus muter ga dapat driver aneh sampai tlat mau kemana mana mengecewakan,3,2026-05-06 23:00:20
Gojek,"MAIN CENCEL SEENAK JIDAT DRIVER, PADAHAL ONGKIR GEDE UDAH TAU DAPETIN LAGI SUSAH.. GOFOOD SEKARANG PESEN BISA 2JAM SENDIRI, GARA GARA DRIVER GAK ADA YANG MAU AMBIL GUA PERNAH SAMPE 3JAM CARI RESTO DI BATALIN TERUS GARA GARA GA DAPET DRIVER... DRIVER PADA BELAGU ONGKIR GEDE GA ADA YANG MAU AMBIL",1,2026-05-06 22:59:22
Gojek,puas,5,2026-05-06 22:54:04
Gojek,"halo. saya ingin melaporkan ini kenapa ya saya suka mendapatkan 2 driver di waktu yg sama? bahkan aplikasinya pending ketika customer membatalkan? temen saya juga mengalami hal serupa. tolong dibenarkan sistemnya ya, agar kejadian mendapatkan 2 driver diwaktu yg sama tidak terulang. karena itu benar benar tidak enak. jelek sekali sistem pemesanannya kok bisa kaya gitu padahal sebelumnya dan udah lama sekali pakai gojek ga pernah kejadian hal seperti ini. terima kasih 🙏🏻",1,2026-05-06 22:54:03
Gojek,woy gojek kenapa ini gangguan mulu?!! gw mau bayar cicilan jadi gak bisa glliran lewat dari tanggal gw di bebanin bunga.. yang bener aje.. urus dong punya aplikasi!!!!!!,4,2026-05-06 22:51:04
Gojek,"knp sih driver gojek skrng pada gak jelas?? dua kali dapet driver tp dia sama sekali gak bergerak bahkan menjauh dari penjemputan lokasi, giliran ditanya mau ambil apa enggak, cuma diem aja bisanya! kalo emg gak mau ambil tuh bilang!! kan orang jd nunggu lama! ditambah saya itu lagi sakit, pengen cepet"" pulang buat istirahat, tapi malah dighosting sm driver. kalo dari awal nolak krn gak cocok kan bisa bilang dari awal biar saya cancel, ini malah diem aja! bisu kali ya?",2,2026-05-06 22:47:59
Gojek,tolong di update lagi masa restoran tutup tapi di aplikasi buka jadinya susah mau di batalkan,5,2026-05-06 22:44:56
Gojek,Kenapa GoCar Hemat Harganya Lebih Mahal Dari Yang Biasa?,4,2026-05-06 22:44:14
Gojek,jelek banget mahal mahal banget ongkirnya,3,2026-05-06 22:35:51
Gojek,Mantap,5,2026-05-06 21:52:00
Gojek,"apk lumayan, tapi sangat di sayangkan saya menemukan beberapa driver yang menyepelekan tanggungjawab nya, banyak sekali costumer termasuk saya sudah menunggu 30 menit bahkan lebih untuk penjemputan tetapi driver putar balik dan malah pulang kerumah nya sendiri membiarkan beberapa costumer menunggu tanpa kepastian dan jelas ini memakan waktu penting seseorang terutama jika orang itu memiliki waktu penting untuk berangkat kerja maupun kuliah, penyeleksian nya tolong di perhatikan lagi",3,2026-05-06 21:50:18
Gojek,cukup puas,5,2026-05-06 21:08:44
Gojek,"jelek banget , ga bsa baca map titik lokasi pnjemputan pdahal udh sesuai peta di titikin tp geser lagi geser lagi , tiap naik hrus debad dlu",1,2026-05-06 21:04:21
Gojek,tepat wkt dtg nya ramah pengemudi nya bnyk promo,5,2026-05-06 20:45:18
Gojek,semoga gojek selalu ngasih yang terbaik buat pelanggan setia.,5,2026-05-06 20:02:09
Gojek,gojek oke,5,2026-05-06 19:51:08
Gojek,"di aplikasi gojek klo top up di alfamart, indomaret GRATIS.... FAKTANYA isi 20rb jd saldo 18rb admin 2rb... kasih info yg bener dong",3,2026-05-06 19:36:19
Gojek,Joss mantap,5,2026-05-06 19:33:19
Gojek,"banyak diskon gess, tapi banyakin lagi plis",5,2026-05-06 19:20:36
Gojek,cepat & sangat baik,5,2026-05-06 18:55:13
Gojek,kicau mania keren,5,2026-05-06 18:53:52
Gojek,"akhir akhir ini tiap top up gopay di sini selalu delay lama sekali, mengakibatkan keterlambatan untuk melakukan pemesanan, sudah 2x kejadian",1,2026-05-06 18:45:04
Gojek,driver dpt 5rb ambil gofood nya jauh. 6ribu anter jauh jmput jauh. pulang nya kosong. uda skarang akun aceng anyep. gk jlas gojek,1,2026-05-06 18:27:11
Gojek,oke oke aja membantu buat pesen goofood cepet bgt dpt driver nya,5,2026-05-06 17:57:38
Gojek,makasih pak,5,2026-05-06 17:49:01
Gojek,terbaik,5,2026-05-06 17:44:28
Gojek,mntap,5,2026-05-06 17:34:02
Gojek,apk yg sangat bagus,5,2026-05-06 17:02:21
Gojek,keren,5,2026-05-06 17:00:24
Gojek,aman,5,2026-05-06 16:57:27
Gojek,"jangan ada yang pake gojek, unistall sekarang rame-rame karena aplikasi banyak merugikan driver atau pun customer dengan system pembodohan ...laksanakan unistall ya guys",1,2026-05-06 16:50:20
Gojek,Drivernya ramah sopan kendarannnya bersih,5,2026-05-06 16:15:26
Gojek,nyari customer servis di aplikasi isinya cuma templat dan bot ga ada cs manusia,1,2026-05-06 15:58:21
Gojek,cepat memuaskan layanan gojek dan gocar,5,2026-05-06 14:53:40
Gojek,aplikasinya sangat membantu dan menyediakan pilihan pembayaran,5,2026-05-06 14:44:23
Gojek,Tarif nya diturunin diam2 bonus sudah tidak ada harga kebutuhan naik bagaimana bisa driver sejahtera? biaya jasa aplikasi tinggi customer bayar nya mahal driver nya kebagian sedikit,1,2026-05-06 14:42:51
Gojek,baik semuanya,5,2026-05-06 14:32:56
Gojek,tidak ada pemberitahuan queue,3,2026-05-06 14:28:31
Gojek,"saya sangat suka pakai aplikasi awalan go, s saya pake semua gojek dan gopay",5,2026-05-06 14:06:06
Gojek,sangat membantu dan mudah untuk braktifitas,5,2026-05-06 13:19:39
Gojek,Aman dan Nyaman,5,2026-05-06 13:03:11
Gojek,bagus sih,5,2026-05-06 13:02:57
Gojek,"sudah cukup baik, lumayan sebagai alternatif ketika shopee lagi gk dapat promo",5,2026-05-06 13:02:35
Gojek,"pelayanan oke, tingkatkan",5,2026-05-06 12:56:32
Gojek,rekomendasi,5,2026-05-06 12:54:37
Gojek,mempermudah transportasi,5,2026-05-06 12:52:59
Gojek,mantapp untuk perjalannyaa,5,2026-05-06 12:50:04
Gojek,aplikasi sampah,1,2026-05-06 12:01:41
Gojek,"tolong ditambah event yang bisa dapat coin, dan ditambah game yg bisa dapat coin ,game gocatnya adain menu double coinnya please diupdate developer 🙏🏽.",1,2026-05-06 11:54:58
Gojek,perjalanan lebih aman dan nyaman,5,2026-05-06 11:54:55
Gojek,good app,5,2026-05-06 11:46:14
Gojek,sopan dan ramah.cepat dan tepat waktu,5,2026-05-06 11:43:52
Gojek,Bintang satu aja...pelayanan buruk tidak berguna mending gulung tikar aja kembali ke laut,1,2026-05-06 11:40:29
Gojek,"apa coba udh sering bgt top up tapi saldo selalu ga pernah masuk, pdhl udh berhasil top up nya",1,2026-05-06 11:35:20
Gojek,layanam cs lenyap. tidak bisa ganti nomer hp. chat bot.,1,2026-05-06 11:29:37
Gojek,kasian mamang gojek nya ongkir nya murah. dan klo dapet orderan yg double cuma di tambahin sedikit.,1,2026-05-06 11:28:36
Gojek,Suara Notif nya ganggu banget. Suara notif yang dulu lebih enak,3,2026-05-06 11:16:30
Gojek,"ya The best public transport, wise driver and fine fare",5,2026-05-06 10:56:20
Gojek,cepat pelayanannya saya suka dan amanah,5,2026-05-06 10:52:47
Gojek,sangat kicau,5,2026-05-06 10:44:51
Gojek,"costumer servis GO-JEK lambat, aplikasinya kadang error ga bisa nge chat driver.",1,2026-05-06 10:44:16
Gojek,opsi klo lagi mager😁,5,2026-05-06 10:27:27
Gojek,cepat dan aman,5,2026-05-06 10:20:02
Gojek,mauliate,5,2026-05-06 10:16:52
Gojek,manjay (mantap jaya),5,2026-05-06 10:14:56
Gojek,aplikasi busuk makin banyak aturan makin ribet...ngorder go send aja hampir 30 menit status masih mencari driver terus kaga dapat²...pindah aplikasi aja udah,1,2026-05-06 09:48:44
Gojek,Aplikasi aneh. Pesan GoCar 3x cancel sendiri padahal driver sudah dekat. Saya sampai kena peringatan. Pesan GoFood malah order di resto yg sebelumnya padahal sudah klik order di resto lain yg juga udah pilih menu & voucher. Makin aneh lagi scroll gofood muter-muter doang pilihannya,1,2026-05-06 09:47:11
Gojek,goooood,5,2026-05-06 09:33:34
Gojek,cepat response,5,2026-05-06 09:02:49
Gojek,semoga voucher nya ditambah terus hehe🩷,5,2026-05-06 08:37:07
Gojek,cepat dn aman,5,2026-05-06 08:31:57
Gojek,Mohon dibantu diperhatikan kesejahteraan drivernya ya,5,2026-05-06 08:27:08
Gojek,Puassssszzzzz,5,2026-05-06 08:15:45
Gojek,"harus ada customer service sendiri untuk penanganan masalah paket hilang,barang ketinggalan,agar kami tidak disuruh menunggu saja tanpa kepastian berapa lama masalah akan selesai,bobroknya perusahaan keliatan dari cara penangan masalahnya",1,2026-05-06 07:35:40
Gojek,"kalo ujan susah cari dirver, mana onkosnya berubah2 naik naik terus dapet nya tetep.susah",3,2026-05-06 07:12:13
Gojek,"tolong kepada pihak gojek untuk menghilangkan layanan gopaylater di akun saya telat 1 hari 50rb apa"" an saya tidak Sudi ada nya layanan gopay later lgi di akun saya",1,2026-05-06 07:08:53
Gojek,"sangat membantu, mudah saat memesan",5,2026-05-06 07:07:16
Gojek,driver pada sok .. gamau ambil orang di terminal yg bawa barang banyak !,1,2026-05-06 07:02:54
Gojek,"Go-Jek si bagus ya tpi sebel bngt lagi buru buru trus ga sempet update disuruh updat dlu, lama bngt lagi, ga bisa ntar aja apa updatenya☺️",4,2026-05-06 06:52:11
Gojek,"Makin kesini pelayanannya semakin menurun, sulit dapat driver padahal di aplikasi banyak nampilin driver tapi gada 1 pun yg nyangkut. Malah disuruh upgrade biaya, pas udh di upgrade sama ajaa tetep susah dpt drivernya",1,2026-05-06 06:25:06
Gojek,sangat tepat waktu dan save drive,5,2026-05-06 06:23:54
Gojek,pelayanan driver Go car nya ramah.. mobil nya bersih dan nyaman... jika duduk di kursi depan selalu diingatkan untuk pakai sabuk pengaman...banyak promo harga... sangat terjangkau...puas banget... pokoknya Siip...mau kemana mana selalu ingat Gojek... dan jika pesan gojek responnya cepat...meskipun jarak nya sangat dekat driver motor selalu menawarkan untuk pakai helm.pelindung kepala... Terimakasih Gojek🤍🤍🤍🤍🤍 ⭐⭐⭐⭐⭐🥰🥰🥰🥰🥰👍👍👍👍👍💙💙💙💙💙🙏🙏🙏🙏🙏🌹🌹🌹🌹🌹❤️❤️❤️❤️❤️🫶🫶🫶🫶🫶....,5,2026-05-06 06:14:07
Gojek,mantapp,5,2026-05-06 06:11:08
Gojek,untuk aplikasi nya mudah sekali dalam penggunaan tetapi kenapa ya 1 Minggu sekali update terus jg gimana caranya app nya terbaca di user interface hp saya. setiap mau buka gojek aplikasi pasti buka nya ke playstore kan jdnya repot. gak bisa buru buru,4,2026-05-06 06:05:38
Gojek,Pelayanan Mantablah,5,2026-05-06 05:54:27
Gojek,"mudah, praktis, dan pemantauan gampang",5,2026-05-06 05:53:23
Gojek,"saya di kirimi saldo ke akun gojek ku..tapi saldo nya tidak masuk masuk..tapi dari pihak pengirim sudah ada kwitansi notifikasi sukses,,dan dan saya mau buat laporan dari aplikasi gojek kagak bisa di menu bantuan kagak ada opsi buat bikin laporannya..trus gimana saya bisa laporan ke pihak gojek kalo saldonya belum masuk masuk.",3,2026-05-06 04:32:03
Gojek,Gilak mantep banget ni apk nya,5,2026-05-06 01:43:16
Gojek,good aplikasi,5,2026-05-06 01:32:53
Gojek,driver pilih2 orderan,1,2026-05-05 23:28:42
Gojek,suka dengan aplikasi ini,5,2026-05-05 22:52:29
Gojek,better sekarang,5,2026-05-05 22:34:14
Gojek,👍👍👍,5,2026-05-05 22:09:53
Gojek,"cari drivernya lama kalii,baru udah dapat malah di batalin terus kalau udah lama mencari nya malah di naikin ongkos nya, ga bagus ini mah",1,2026-05-05 22:09:13
Gojek,aku cuma mau mematikan pembayaran otomatis hasilnya ngak ketemu2.. jadi aku kasih bintang 1 saja..,1,2026-05-05 21:37:33
Gojek,susah banget dapat driver,5,2026-05-05 21:30:44
Gojek,drivernya suka cancel seenaknya tanpa konfirm daerah saya jg bukan redzone pernah juga mau gosend makanan banyak driver yang nerima tapi ga lama cancel kalo gamau bantu antar yauda gausa ditake dari awal bikin orang susah aja kayaknya perlu diketatin lagi kualifikasi untuk terima kerja sama mitra dll,2,2026-05-05 21:05:28
Gojek,"sudah verifikasi no wa, tapi minta lagi verifikasi email, padahal emailnya tidak aktif, bikin ribet",1,2026-05-05 20:05:43
Gojek,"Kapan ada pembayaran QRIS??? Notifikasinya lembet, kadang suka ga masuk",4,2026-05-05 19:33:36
Gojek,bakus,5,2026-05-05 19:28:58
Gojek,"driver go car minta tolong di benerin lagi,masa mesen gocar melebihi estimasi,saya sebagai costumer kecewa karena mama saya maraj marah kepada saya karna oknum gocar yang tidak becus,trmksh.",1,2026-05-05 19:26:36
Gojek,aplikasi jelek,1,2026-05-05 19:20:22
Gojek,titik di aplikasi dan alamat di deskripsinya sering beda. titik di hp driver dan di hp customer juga suka beda. bikin ribut antara driver dan customer doang ni aplikasi kerjaannya.,1,2026-05-05 19:17:20
Gojek,"aplikasi aneh, pesanan dibatalin sendiri sama driver dan di alihkan ke driver lain, masa langsung 2 driver yang di kirim sama gojeknya sementara orderan cuman 1, aneh sistemnya, ngerugiin driver sama cuatomer sistemnya ini",1,2026-05-05 19:16:55
Gojek,boleh lah.. walau kadang telat,4,2026-05-05 19:16:29
Gojek,Good,5,2026-05-05 19:07:07
Gojek,udh gk ada promo,4,2026-05-05 19:06:42
Gojek,Bagus banget,5,2026-05-05 19:04:18
Gojek,Sangat membantu sekali Bintang lima. Sangat Mantab,5,2026-05-05 18:57:34
Gojek,"saat ini saya kasih bintang 1 aja untuk aplikasinya, pesen gofood, biaya penanganan nya mahal bgt dan ada ""group order"" kalo mau murah, ribet banget sih, tinggal kasih diskon kayak dulu apa susahnya sih, masa' selisih ama sebelah bisa 30rb an, gile",1,2026-05-05 18:27:27
Gojek,mudah digunakan,5,2026-05-05 18:19:58
Gojek,"parah bgt apk ini saya selaku punya resto merasa dirugikan lama sekali dapat driver padahal barang sudah ready sekalinya dapat driver posisi sudah dekat tau"" ilang lagi drivernya beda sama apk sebelah walaopun lama tetep driver mau ambil",1,2026-05-05 18:10:19
Gojek,"sdh kesekian kalinya dan tidak hanya saya, keluarga dan teman² saya sangat kecewa dengan driver gocar yg terkesan gercep ambil order tapi minta di batalkan karna alasan penjemput terlalu jauh atau mobil tidak gerak². sangat mengecewakan.",2,2026-05-05 18:07:10
Gojek,terimaksih aplikasi ini sangat membantu saya,5,2026-05-05 18:03:58
Gojek,keren banget driver nya juga motor nya bagus bagus,5,2026-05-05 17:47:48
Gojek,apk makin enggak jelas aja apa mau bangkrut ya ?,1,2026-05-05 17:47:00
Gojek,kecewa sekarang titik tujuan ga bisa dipindahkan/ diganti,3,2026-05-05 17:35:35
Gojek,oke bagus para driver gocar/gojek,5,2026-05-05 17:31:56
Gojek,cepet promo nya banyak 🙏🙏,5,2026-05-05 17:29:33
Gojek,good application,5,2026-05-05 17:11:43
Gojek,good 👍,5,2026-05-05 17:10:02
Gojek,terimakasih,5,2026-05-05 16:57:36
Gojek,"nyari driver lama nya mintak ampun, padahal lokasi di tengah kota jam ya jam kerja tapi sama sekali gk ada yg nerima orderan,",2,2026-05-05 16:50:25
Gojek,gooodddd,5,2026-05-05 16:49:12
Gojek,bagus dalam segi palayanan,5,2026-05-05 16:35:11
Gojek,gooooooo,5,2026-05-05 16:21:03
Gojek,b aja,5,2026-05-05 16:21:00
Gojek,"makin lama , makin susah dapet driver untuk gosen instant..!!! instant aja susah, payah..",3,2026-05-05 16:14:55
Gojek,"untuk fitur layanan go pinjam sudah pernah dipakai ingin mengajukan lagi 2 kali tidak bisa menunggu 1 bulan kembali berulang terus, fiturnya sangat jelek",1,2026-05-05 16:14:31
Gojek,susah dapet driver lagi urgent2 nya fix uninstall,1,2026-05-05 16:06:10
